,N,dim,std,jump,jump_prob,ve,L2,L2_true
86,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
87,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
88,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
89,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
90,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
91,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
92,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
93,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
94,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
95,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
96,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
97,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
98,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
99,1,1,0.01,0.3,0.5,0.001,3.62038,1.80385
0,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
1,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
2,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
3,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
4,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
5,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
6,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
7,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
8,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
9,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
10,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
11,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
12,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
13,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
14,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
15,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
16,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
17,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
18,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
19,1,1,0.05,0.3,0.5,0.001,1.34964,1.17819
