,N,dim,std,jump,jump_prob,ve,L2,L2_true
86,100,1,0.01,0.3,0.5,1.0,3.62065,0.00211
87,100,1,0.01,0.3,0.5,1.0,3.62066,0.00209
88,100,1,0.01,0.3,0.5,1.0,3.62065,0.00207
89,100,1,0.01,0.3,0.5,1.0,3.62065,0.00206
90,100,1,0.01,0.3,0.5,1.0,3.62064,0.00216
91,100,1,0.01,0.3,0.5,1.0,3.62066,0.00218
92,100,1,0.01,0.3,0.5,1.0,3.62064,0.00215
93,100,1,0.01,0.3,0.5,1.0,3.62065,0.00212
94,100,1,0.01,0.3,0.5,1.0,3.62065,0.00209
95,100,1,0.01,0.3,0.5,1.0,3.62064,0.00216
96,100,1,0.01,0.3,0.5,1.0,3.62065,0.00215
97,100,1,0.01,0.3,0.5,1.0,3.62065,0.00212
98,100,1,0.01,0.3,0.5,1.0,3.62066,0.00209
99,100,1,0.01,0.3,0.5,1.0,3.62065,0.00224
0,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00312
1,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00306
2,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00324
3,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00308
4,100,1,0.01,0.3,0.5,0.82864,3.62043,0.0031
5,100,1,0.01,0.3,0.5,0.82864,3.62045,0.00303
6,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00304
7,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00303
8,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00305
9,100,1,0.01,0.3,0.5,0.82864,3.62045,0.00308
10,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00309
11,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00317
12,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00305
13,100,1,0.01,0.3,0.5,0.82864,3.62042,0.0031
14,100,1,0.01,0.3,0.5,0.82864,3.62042,0.0031
15,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00304
16,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00304
17,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00318
18,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00306
19,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00305
20,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00304
21,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00303
22,100,1,0.01,0.3,0.5,0.82864,3.62042,0.0032
23,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00299
24,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00319
25,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00307
26,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00313
27,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00305
28,100,1,0.01,0.3,0.5,0.82864,3.62045,0.00297
29,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00307
30,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00306
31,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00304
32,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00318
33,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00296
34,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00309
35,100,1,0.01,0.3,0.5,0.82864,3.62045,0.00299
36,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00304
37,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00301
38,100,1,0.01,0.3,0.5,0.82864,3.62043,0.0031
39,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00317
40,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00329
41,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00302
42,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00305
43,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00304
44,100,1,0.01,0.3,0.5,0.82864,3.62048,0.00298
45,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00306
46,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00299
47,100,1,0.01,0.3,0.5,0.82864,3.62044,0.003
48,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00306
49,100,1,0.01,0.3,0.5,0.82864,3.62043,0.0031
50,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00299
51,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00306
52,100,1,0.01,0.3,0.5,0.82864,3.62041,0.00311
53,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00303
54,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00303
55,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00317
56,100,1,0.01,0.3,0.5,0.82864,3.62045,0.00299
57,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00304
58,100,1,0.01,0.3,0.5,0.82864,3.62045,0.00301
59,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00309
60,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00305
61,100,1,0.01,0.3,0.5,0.82864,3.62045,0.003
62,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00311
63,100,1,0.01,0.3,0.5,0.82864,3.62043,0.0031
64,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00313
65,100,1,0.01,0.3,0.5,0.82864,3.62044,0.0031
66,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00306
67,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00309
68,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00302
69,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00302
70,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00314
71,100,1,0.01,0.3,0.5,0.82864,3.62044,0.0032
72,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00317
73,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00306
74,100,1,0.01,0.3,0.5,0.82864,3.62045,0.003
75,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00305
76,100,1,0.01,0.3,0.5,0.82864,3.62043,0.0031
77,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00307
78,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00335
79,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00305
80,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00309
81,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00305
82,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00309
83,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00316
84,100,1,0.01,0.3,0.5,0.82864,3.62042,0.0031
85,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00304
86,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00305
87,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00303
88,100,1,0.01,0.3,0.5,0.82864,3.62044,0.003
89,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00298
90,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00312
91,100,1,0.01,0.3,0.5,0.82864,3.62045,0.00315
92,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00311
93,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00307
94,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00303
95,100,1,0.01,0.3,0.5,0.82864,3.62042,0.00312
96,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00312
97,100,1,0.01,0.3,0.5,0.82864,3.62043,0.00307
98,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00302
99,100,1,0.01,0.3,0.5,0.82864,3.62044,0.00324
0,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00451
1,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00442
2,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00468
3,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00445
4,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00447
5,100,1,0.01,0.3,0.5,0.68665,3.62015,0.00438
6,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00439
7,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00437
8,100,1,0.01,0.3,0.5,0.68665,3.62013,0.0044
9,100,1,0.01,0.3,0.5,0.68665,3.62015,0.00445
10,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00445
11,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00458
12,100,1,0.01,0.3,0.5,0.68665,3.62012,0.0044
13,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00447
14,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00447
15,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00439
16,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00439
17,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00459
18,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00442
19,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00441
20,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00439
21,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00438
22,100,1,0.01,0.3,0.5,0.68665,3.6201,0.00462
23,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00432
24,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00461
25,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00442
26,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00452
27,100,1,0.01,0.3,0.5,0.68665,3.62013,0.0044
28,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00429
29,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00443
30,100,1,0.01,0.3,0.5,0.68665,3.6201,0.00441
31,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00439
32,100,1,0.01,0.3,0.5,0.68665,3.62012,0.0046
33,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00427
34,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00446
35,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00433
36,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00439
37,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00434
38,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00447
39,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00458
40,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00476
41,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00435
42,100,1,0.01,0.3,0.5,0.68665,3.62012,0.0044
43,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00439
44,100,1,0.01,0.3,0.5,0.68665,3.62019,0.00431
45,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00442
46,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00432
47,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00434
48,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00442
49,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00448
50,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00432
51,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00442
52,100,1,0.01,0.3,0.5,0.68665,3.62009,0.00449
53,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00438
54,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00438
55,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00458
56,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00432
57,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00438
58,100,1,0.01,0.3,0.5,0.68665,3.62015,0.00435
59,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00446
60,100,1,0.01,0.3,0.5,0.68665,3.62011,0.0044
61,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00433
62,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00448
63,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00448
64,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00452
65,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00447
66,100,1,0.01,0.3,0.5,0.68665,3.62011,0.00441
67,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00446
68,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00436
69,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00436
70,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00454
71,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00462
72,100,1,0.01,0.3,0.5,0.68665,3.6201,0.00458
73,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00441
74,100,1,0.01,0.3,0.5,0.68665,3.62015,0.00434
75,100,1,0.01,0.3,0.5,0.68665,3.62013,0.0044
76,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00447
77,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00444
78,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00484
79,100,1,0.01,0.3,0.5,0.68665,3.62013,0.0044
80,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00447
81,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00439
82,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00447
83,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00456
84,100,1,0.01,0.3,0.5,0.68665,3.6201,0.00447
85,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00438
86,100,1,0.01,0.3,0.5,0.68665,3.62013,0.0044
87,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00438
88,100,1,0.01,0.3,0.5,0.68665,3.62013,0.00433
89,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00431
90,100,1,0.01,0.3,0.5,0.68665,3.6201,0.0045
91,100,1,0.01,0.3,0.5,0.68665,3.62014,0.00456
92,100,1,0.01,0.3,0.5,0.68665,3.62011,0.0045
93,100,1,0.01,0.3,0.5,0.68665,3.62012,0.00443
