N,dim,std,shift,shift_prob,sigma,L2_1,L2_2
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955588
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955588
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955588
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955588
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
1,1,0.01,0.3333333333333333,0.5,0.009999999776482582,3.6175787858578747,0.7023178269955587
