#time(sec):	Om (Hz)	tswh0:	tswh1:	tswh2:	tswh3:	tswh4:	tswh5:	tswh6:	tswh7:	tswm0:	tswm1:	tswm2:	tswm3:	tswm4:	tswm5:	tswm6:	tswm7:	tswl0:	tswl1:	tswl2:	tswl3:	tswl4:	tswl5:	tswl6:	tswl7:
7904.4	0.0140	40.2407	40.2948	40.3902	40.3394	40.3012	40.0580	40.0159	40.1051	40.3437	40.3988	40.5014	40.4537	40.3493	40.2316	40.1655	40.2686	40.5830	40.6334	40.5149	40.5314	40.4766	40.3309	40.3716	40.4114
7907.8	0.0140	40.2382	40.2960	40.4012	40.3488	40.2804	40.0580	40.0136	40.1051	40.3400	40.3967	40.4933	40.4564	40.3557	40.2326	40.1624	40.2568	40.5745	40.6277	40.4961	40.5349	40.4790	40.3337	40.3653	40.4022
7911.2	0.0140	40.2370	40.2985	40.4067	40.3595	40.2535	40.0623	40.0183	40.1051	40.3375	40.4009	40.4853	40.4551	40.3596	40.2346	40.1582	40.2489	40.5603	40.6288	40.4824	40.5326	40.4778	40.3516	40.3603	40.3982
7914.7	0.0140	40.2307	40.2998	40.4100	40.3676	40.2327	40.0666	40.0371	40.1027	40.3326	40.4062	40.4786	40.4523	40.3635	40.2408	40.1531	40.2423	40.5475	40.6357	40.4761	40.5302	40.4838	40.3737	40.3514	40.3982
7918.1	0.0140	40.2295	40.3023	40.4123	40.3756	40.2169	40.0677	40.0548	40.0957	40.3264	40.4125	40.4746	40.4496	40.3660	40.2438	40.1489	40.2331	40.5390	40.6415	40.4736	40.5243	40.5007	40.3903	40.3426	40.3930
7921.5	0.0140	40.2283	40.3035	40.4123	40.3824	40.1998	40.0677	40.0665	40.0946	40.3252	40.4209	40.4679	40.4442	40.3686	40.2438	40.1469	40.2292	40.5262	40.6368	40.4711	40.5231	40.5103	40.4027	40.3350	40.3877
7925.1	0.0140	40.2345	40.3072	40.4200	40.3824	40.1754	40.0656	40.0795	40.0957	40.3202	40.4304	40.4586	40.4401	40.3673	40.2428	40.1448	40.2265	40.5149	40.6277	40.4699	40.5338	40.5116	40.4027	40.3287	40.3785
7928.6	0.0140	40.2395	40.3147	40.4200	40.3716	40.1657	40.0623	40.0972	40.1016	40.3202	40.4367	40.4506	40.4360	40.3647	40.2387	40.1407	40.2226	40.5036	40.6231	40.4811	40.5503	40.5103	40.3986	40.3237	40.3693
7932.0	0.0140	40.2432	40.3234	40.4200	40.3622	40.1584	40.0591	40.1043	40.1004	40.3190	40.4409	40.4519	40.4320	40.3570	40.2336	40.1407	40.2226	40.4951	40.6196	40.5086	40.5752	40.5091	40.3889	40.3212	40.3628
7935.4	0.0140	40.2470	40.3272	40.4178	40.3340	40.1645	40.0580	40.1008	40.0887	40.3178	40.4420	40.4613	40.4320	40.3480	40.2244	40.1376	40.2213	40.4894	40.6161	40.5249	40.5942	40.5116	40.3792	40.3187	40.3562
7938.8	0.0140	40.2520	40.3309	40.4156	40.3112	40.1742	40.0548	40.0890	40.0736	40.3190	40.4420	40.4613	40.4306	40.3415	40.2224	40.1386	40.2239	40.4824	40.6093	40.5274	40.6037	40.5128	40.3723	40.3174	40.3536
7942.3	0.0140	40.2557	40.3359	40.4200	40.2952	40.1779	40.0548	40.0772	40.0643	40.3190	40.4409	40.4733	40.4293	40.3351	40.2224	40.1355	40.2226	40.4781	40.6024	40.5261	40.6037	40.5188	40.3654	40.3199	40.3470
7945.7	0.0140	40.2570	40.3384	40.4233	40.2831	40.1803	40.0537	40.0642	40.0620	40.3215	40.4378	40.4720	40.4265	40.3287	40.2234	40.1345	40.2226	40.4809	40.5989	40.5349	40.6001	40.5260	40.3613	40.3199	40.3392
7949.1	0.0140	40.2532	40.3384	40.4244	40.2764	40.1767	40.0537	40.0583	40.0596	40.3215	40.4367	40.4746	40.4279	40.3222	40.2244	40.1345	40.2239	40.4809	40.5966	40.5361	40.6061	40.5393	40.3585	40.3199	40.3352
7952.7	0.0140	40.2482	40.3434	40.4222	40.2791	40.1742	40.0494	40.0607	40.0527	40.3215	40.4346	40.4760	40.4279	40.3171	40.2224	40.1324	40.2252	40.4838	40.5886	40.5386	40.6192	40.5478	40.3544	40.3187	40.3313
7956.1	0.0140	40.2445	40.3434	40.4211	40.2898	40.1730	40.0462	40.0748	40.0515	40.3215	40.4335	40.4746	40.4293	40.3261	40.2214	40.1304	40.2239	40.4852	40.5817	40.5436	40.6215	40.5586	40.3530	40.3174	40.3313
7959.6	0.0140	40.2445	40.3471	40.4211	40.2992	40.1840	40.0451	40.0972	40.0503	40.3202	40.4335	40.4693	40.4306	40.3403	40.2234	40.1293	40.2186	40.4880	40.5817	40.5499	40.6215	40.5707	40.3489	40.3149	40.3274
7963.0	0.0140	40.2495	40.3471	40.4167	40.3072	40.1974	40.0473	40.1043	40.0422	40.3178	40.4293	40.4679	40.4320	40.3557	40.2346	40.1293	40.2147	40.4923	40.5909	40.5549	40.6144	40.5768	40.3530	40.3111	40.3222
7966.4	0.0140	40.2545	40.3484	40.4145	40.3112	40.2169	40.0537	40.0713	40.0457	40.3153	40.4251	40.4626	40.4401	40.3686	40.2479	40.1324	40.2094	40.4880	40.6024	40.5612	40.6120	40.5840	40.3641	40.3048	40.3104
7969.8	0.0140	40.2595	40.3484	40.4156	40.3179	40.2303	40.0580	40.0536	40.0550	40.3128	40.4220	40.4559	40.4401	40.3854	40.2622	40.1335	40.2068	40.4852	40.6070	40.5699	40.6168	40.5913	40.3723	40.3010	40.3038
7973.2	0.0140	40.2633	40.3496	40.4167	40.3260	40.2486	40.0634	40.0477	40.0620	40.3128	40.4188	40.4519	40.4415	40.4009	40.2776	40.1396	40.2042	40.4824	40.6116	40.5775	40.6239	40.5961	40.3834	40.3010	40.2947
7976.7	0.0140	40.2633	40.3496	40.4167	40.3300	40.2596	40.0699	40.0453	40.0620	40.3141	40.4167	40.4453	40.4415	40.4138	40.2888	40.1438	40.2029	40.4781	40.6150	40.5875	40.6322	40.6010	40.3903	40.2985	40.2908
7980.3	0.0140	40.2620	40.3471	40.4145	40.3340	40.2694	40.0838	40.0371	40.0608	40.3141	40.4178	40.4466	40.4401	40.4164	40.3011	40.1469	40.2016	40.4725	40.6161	40.5875	40.6346	40.6070	40.3972	40.3010	40.2816
7983.7	0.0140	40.2532	40.3496	40.4123	40.3394	40.2792	40.1000	40.0336	40.0631	40.3153	40.4178	40.4506	40.4401	40.4215	40.3103	40.1489	40.2003	40.4739	40.6012	40.5787	40.6370	40.6119	40.4027	40.3023	40.2816
7987.1	0.0140	40.2457	40.3521	40.4123	40.3407	40.2877	40.1173	40.0371	40.0631	40.3104	40.4199	40.4559	40.4442	40.4202	40.3196	40.1500	40.1976	40.4739	40.5817	40.5724	40.6346	40.6155	40.4097	40.3073	40.2829
7990.5	0.0140	40.2370	40.3546	40.4145	40.3434	40.2902	40.1270	40.0524	40.0596	40.3116	40.4188	40.4586	40.4442	40.4202	40.3288	40.1531	40.1950	40.4753	40.5645	40.5712	40.6370	40.6131	40.4138	40.3124	40.2973
7994.1	0.0140	40.2295	40.3583	40.4211	40.3448	40.2951	40.1345	40.0524	40.0550	40.3079	40.4167	40.4626	40.4469	40.4215	40.3360	40.1541	40.1924	40.4795	40.5507	40.5687	40.6489	40.6179	40.4152	40.3136	40.3038
7997.5	0.0140	40.2220	40.3596	40.4244	40.3501	40.3012	40.1367	40.0289	40.0550	40.3067	40.4178	40.4626	40.4523	40.4254	40.3401	40.1562	40.1898	40.4809	40.5393	40.5624	40.6608	40.6434	40.4180	40.3187	40.2921
8000.9	0.0140	40.2120	40.3658	40.4255	40.3528	40.3061	40.1324	40.0077	40.0527	40.3030	40.4178	40.4613	40.4578	40.4267	40.3463	40.1603	40.1871	40.4795	40.5290	40.5537	40.6715	40.6470	40.4221	40.3250	40.2816
8004.3	0.0140	40.2008	40.3671	40.4299	40.3568	40.3122	40.1291	40.0065	40.0434	40.2968	40.4156	40.4533	40.4632	40.4370	40.3504	40.1675	40.1871	40.4809	40.5164	40.5436	40.6822	40.6628	40.4263	40.3313	40.2725
8007.9	0.0140	40.1858	40.3696	40.4322	40.3622	40.3208	40.1270	40.0136	40.0422	40.2943	40.4135	40.4466	40.4714	40.4500	40.3504	40.1717	40.1832	40.4809	40.5050	40.5361	40.6989	40.6689	40.4346	40.3338	40.2685
8011.4	0.0140	40.1709	40.3708	40.4322	40.3662	40.3404	40.1270	40.0147	40.0283	40.2907	40.4093	40.4413	40.4809	40.4603	40.3483	40.1748	40.1806	40.4809	40.4970	40.5286	40.7097	40.6640	40.4415	40.3376	40.2620
8014.8	0.0140	40.1509	40.3683	40.4322	40.3756	40.3625	40.1280	40.0124	40.0051	40.2870	40.4062	40.4306	40.4877	40.4772	40.3442	40.1768	40.1780	40.4838	40.4890	40.5211	40.7180	40.6555	40.4526	40.3413	40.2581
8018.2	0.0140	40.1335	40.3683	40.4310	40.3810	40.3834	40.1334	40.0077	39.9796	40.2833	40.3999	40.4173	40.4959	40.4953	40.3483	40.1768	40.1753	40.4852	40.4718	40.5111	40.7204	40.6531	40.4665	40.3401	40.2477
8021.6	0.0140	40.1248	40.3683	40.4277	40.3837	40.4080	40.1453	40.0406	39.9668	40.2771	40.3925	40.3999	40.5013	40.5057	40.3555	40.1758	40.1701	40.4894	40.4718	40.5011	40.7168	40.6519	40.4748	40.3388	40.2425
8025.1	0.0140	40.1186	40.3671	40.4244	40.3891	40.4252	40.1626	40.0713	39.9529	40.2709	40.3852	40.3826	40.5068	40.5135	40.3617	40.1748	40.1662	40.4923	40.4810	40.4986	40.7121	40.6531	40.4803	40.3363	40.2372
8028.5	0.0140	40.1099	40.3621	40.4211	40.3918	40.4412	40.1821	40.0890	39.9414	40.2636	40.3799	40.3747	40.5068	40.5226	40.3678	40.1768	40.1622	40.4852	40.4878	40.5024	40.7228	40.6580	40.4859	40.3376	40.2307
8031.9	0.0140	40.0950	40.3546	40.4167	40.3931	40.4486	40.1994	40.1078	39.9379	40.2574	40.3789	40.3747	40.5108	40.5278	40.3709	40.1830	40.1622	40.4824	40.4878	40.4961	40.7204	40.6616	40.4873	40.3376	40.2242
8035.5	0.0140	40.0863	40.3496	40.4089	40.3918	40.4536	40.2167	40.1102	39.9460	40.2500	40.3799	40.3760	40.5095	40.5317	40.3771	40.1903	40.1662	40.4753	40.4810	40.4786	40.7180	40.6616	40.4873	40.3363	40.2229
8038.9	0.0140	40.0752	40.3434	40.4034	40.3945	40.4634	40.2330	40.1197	39.9564	40.2439	40.3789	40.3733	40.5068	40.5330	40.3812	40.1954	40.1714	40.4711	40.4730	40.4612	40.7121	40.6519	40.4887	40.3376	40.2229
8042.4	0.0140	40.0653	40.3384	40.3968	40.3985	40.4708	40.2492	40.1291	39.9680	40.2390	40.3768	40.3707	40.5068	40.5343	40.3843	40.2048	40.1753	40.4612	40.4650	40.4537	40.7061	40.6410	40.4901	40.3376	40.2216
8045.8	0.0140	40.0591	40.3346	40.3935	40.3958	40.4746	40.2622	40.1291	39.9796	40.2353	40.3652	40.3667	40.5040	40.5356	40.3812	40.2130	40.1793	40.4597	40.4604	40.4487	40.7073	40.6276	40.4901	40.3388	40.2268
8049.2	0.0140	40.0492	40.3322	40.3913	40.3904	40.4758	40.2731	40.1327	39.9865	40.2328	40.3579	40.3640	40.5027	40.5356	40.3822	40.2224	40.1871	40.4541	40.4536	40.4412	40.7025	40.6167	40.4845	40.3401	40.2333
8052.7	0.0140	40.0417	40.3284	40.3880	40.3864	40.4807	40.2829	40.1457	39.9842	40.2279	40.3505	40.3600	40.4999	40.5382	40.3812	40.2307	40.1911	40.4513	40.4467	40.4325	40.6906	40.6095	40.4789	40.3413	40.2385
8056.1	0.0140	40.0355	40.3259	40.3847	40.3810	40.4844	40.2894	40.1646	39.9842	40.2254	40.3443	40.3494	40.4972	40.5317	40.3802	40.2389	40.1937	40.4485	40.4342	40.4288	40.6799	40.6058	40.4720	40.3413	40.2464
8059.5	0.0140	40.0331	40.3259	40.3791	40.3783	40.4918	40.2938	40.1788	39.9854	40.2279	40.3380	40.3441	40.4931	40.5239	40.3781	40.2441	40.2016	40.4456	40.4217	40.4300	40.6715	40.5973	40.4706	40.3489	40.2542
8063.1	0.0140	40.0331	40.3172	40.3758	40.3770	40.4881	40.2981	40.1741	39.9900	40.2254	40.3306	40.3414	40.4877	40.5200	40.3771	40.2493	40.2042	40.4442	40.4091	40.4225	40.6584	40.5864	40.4803	40.3502	40.2633
8066.5	0.0140	40.0269	40.3085	40.3714	40.3716	40.4869	40.3014	40.1706	39.9946	40.2242	40.3212	40.3401	40.4809	40.5109	40.3761	40.2566	40.2094	40.4414	40.3966	40.4101	40.6525	40.5864	40.4984	40.3577	40.2685
8070.0	0.0140	40.0133	40.3023	40.3670	40.3689	40.4844	40.3036	40.1635	39.9946	40.2242	40.3107	40.3374	40.4768	40.5031	40.3730	40.2597	40.2121	40.4386	40.3909	40.3989	40.6548	40.5889	40.5081	40.3653	40.2751
8073.4	0.0140	40.0009	40.2985	40.3637	40.3636	40.4844	40.3036	40.1528	39.9981	40.2181	40.3013	40.3321	40.4741	40.4979	40.3750	40.2639	40.2147	40.4400	40.3830	40.3852	40.6572	40.5949	40.5123	40.3779	40.2777
8076.8	0.0140	39.9886	40.2960	40.3582	40.3636	40.4820	40.3046	40.1398	40.0051	40.2181	40.2940	40.3268	40.4741	40.4914	40.3750	40.2690	40.2186	40.4343	40.3784	40.3716	40.6584	40.6070	40.5095	40.3855	40.2855
8080.2	0.0140	39.9787	40.2948	40.3516	40.3636	40.4783	40.3003	40.1279	40.0120	40.2169	40.2856	40.3175	40.4714	40.4927	40.3761	40.2753	40.2213	40.4357	40.3762	40.3604	40.6584	40.6240	40.5304	40.3944	40.2868
8083.7	0.0140	39.9713	40.2873	40.3439	40.3662	40.4746	40.2970	40.1185	40.0178	40.2193	40.2794	40.3109	40.4673	40.4992	40.3812	40.2846	40.2239	40.4329	40.3637	40.3443	40.6465	40.6410	40.5568	40.3969	40.2855
8087.2	0.0140	39.9626	40.2799	40.3373	40.3703	40.4721	40.2927	40.1008	40.0190	40.2218	40.2741	40.3030	40.4578	40.5044	40.3853	40.2929	40.2200	40.4315	40.3568	40.3356	40.6310	40.6652	40.5791	40.4045	40.2868
8090.8	0.0140	39.9614	40.2712	40.3295	40.3703	40.4659	40.2862	40.0842	40.0109	40.2230	40.2679	40.2950	40.4496	40.5070	40.3894	40.3033	40.2252	40.4287	40.3512	40.3269	40.6203	40.6908	40.6056	40.4095	40.2881
8094.2	0.0140	39.9688	40.2662	40.3218	40.3676	40.4523	40.2818	40.0972	39.9993	40.2242	40.2637	40.2910	40.4401	40.5070	40.3946	40.3044	40.2265	40.4287	40.3478	40.3294	40.6096	40.7139	40.6322	40.4159	40.2829
8097.6	0.0140	39.9713	40.2612	40.3152	40.3542	40.4178	40.2796	40.1102	39.9888	40.2254	40.2626	40.2924	40.4333	40.5070	40.4028	40.3075	40.2278	40.4245	40.3455	40.3319	40.6037	40.7248	40.6406	40.4260	40.2816
8101.1	0.0140	39.9713	40.2575	40.3086	40.3434	40.4104	40.2775	40.1067	39.9784	40.2254	40.2616	40.2950	40.4238	40.5070	40.4152	40.3096	40.2239	40.4245	40.3478	40.3356	40.5966	40.7309	40.6350	40.4374	40.2764
8104.5	0.0140	39.9700	40.2562	40.3042	40.3367	40.4092	40.2807	40.1114	39.9714	40.2267	40.2616	40.2977	40.4184	40.5057	40.4245	40.3200	40.2173	40.4216	40.3523	40.3368	40.5859	40.7382	40.6308	40.4513	40.2764
8107.9	0.0140	39.9762	40.2575	40.3031	40.3313	40.4092	40.2894	40.1303	39.9726	40.2267	40.2574	40.2977	40.4116	40.5096	40.4348	40.3283	40.2134	40.4174	40.3637	40.3381	40.5740	40.7480	40.6308	40.4691	40.2842
8111.3	0.0140	39.9886	40.2587	40.3021	40.3220	40.4055	40.2970	40.1457	39.9749	40.2267	40.2574	40.3056	40.4089	40.5148	40.4420	40.3377	40.2055	40.4132	40.3909	40.3393	40.5646	40.7504	40.6322	40.4881	40.3025
8114.7	0.0140	40.0021	40.2625	40.2976	40.3152	40.4068	40.3025	40.1587	39.9749	40.2242	40.2595	40.3202	40.4089	40.5200	40.4492	40.3460	40.2068	40.4132	40.4114	40.3406	40.5610	40.7553	40.6294	40.5072	40.3195
8118.4	0.0140	40.0182	40.2637	40.2933	40.3112	40.4117	40.3090	40.1741	39.9749	40.2242	40.2626	40.3308	40.4130	40.5252	40.4657	40.3575	40.2081	40.4118	40.4228	40.3443	40.5622	40.7565	40.6154	40.5250	40.3313
8121.8	0.0140	40.0368	40.2649	40.2900	40.3059	40.4141	40.3144	40.1907	39.9796	40.2254	40.2668	40.3335	40.4143	40.5304	40.4761	40.3648	40.2134	40.4160	40.4319	40.3468	40.5657	40.7504	40.6014	40.5377	40.3366
8125.2	0.0140	40.0504	40.2612	40.2823	40.2992	40.4228	40.3188	40.2121	39.9900	40.2279	40.2700	40.3268	40.4143	40.5343	40.4864	40.3752	40.2239	40.4174	40.4433	40.3455	40.5752	40.7468	40.5945	40.5428	40.3405
8128.6	0.0140	40.0628	40.2438	40.2757	40.2952	40.4302	40.3221	40.2394	40.0027	40.2304	40.2762	40.3202	40.4171	40.5291	40.4936	40.3836	40.2331	40.4188	40.4524	40.3492	40.5859	40.7395	40.5875	40.5441	40.3484
8132.0	0.0140	40.0727	40.2265	40.2669	40.2952	40.4412	40.3275	40.2560	40.0201	40.2304	40.2783	40.3096	40.4171	40.5239	40.4947	40.3878	40.2410	40.4202	40.4604	40.3542	40.5918	40.7273	40.5707	40.5441	40.3523
8135.5	0.0140	40.0814	40.2116	40.2570	40.2992	40.4437	40.3319	40.2691	40.0387	40.2304	40.2815	40.2950	40.4184	40.5187	40.4926	40.3919	40.2541	40.4230	40.4661	40.3616	40.5930	40.7102	40.5568	40.5441	40.3615
8138.9	0.0140	40.0901	40.2004	40.2406	40.2952	40.4302	40.3351	40.2763	40.0596	40.2328	40.2835	40.2924	40.4076	40.5096	40.4895	40.3982	40.2660	40.4273	40.4741	40.3728	40.5942	40.6908	40.5498	40.5492	40.3667
8142.3	0.0140	40.0950	40.1880	40.2176	40.2818	40.4203	40.3406	40.2775	40.0794	40.2377	40.2856	40.2963	40.3981	40.5018	40.4812	40.4013	40.2752	40.4287	40.4798	40.3765	40.5871	40.6762	40.5610	40.5517	40.3759
8145.9	0.0140	40.0950	40.1757	40.1913	40.2644	40.4080	40.3471	40.2834	40.0981	40.2427	40.2888	40.2751	40.3805	40.4927	40.4771	40.4045	40.2831	40.4329	40.4775	40.3803	40.5800	40.6592	40.5763	40.5555	40.3838
8149.3	0.0140	40.0851	40.1645	40.1695	40.2604	40.3981	40.3504	40.2870	40.1167	40.2476	40.2846	40.2487	40.3642	40.4875	40.4699	40.4066	40.2884	40.4372	40.4673	40.3753	40.5729	40.6434	40.5791	40.5606	40.3903
8152.8	0.0140	40.0739	40.1522	40.1498	40.2604	40.3944	40.3537	40.2894	40.1319	40.2463	40.2783	40.2275	40.3494	40.4785	40.4678	40.4087	40.2976	40.4386	40.4513	40.3616	40.5669	40.6276	40.5833	40.5670	40.4127
8156.2	0.0140	40.0665	40.1435	40.1433	40.2630	40.3908	40.3569	40.2929	40.1470	40.2488	40.2731	40.2011	40.3358	40.4629	40.4668	40.4097	40.3029	40.4414	40.4387	40.3492	40.5468	40.6095	40.5875	40.5785	40.4258
8159.6	0.0140	40.0578	40.1275	40.1443	40.2697	40.3858	40.3580	40.2953	40.1587	40.2463	40.2689	40.1866	40.3196	40.4513	40.4699	40.4128	40.3068	40.4442	40.4274	40.3455	40.5326	40.5973	40.6000	40.5912	40.4364
8163.0	0.0140	40.0479	40.1176	40.1476	40.2684	40.3834	40.3580	40.3037	40.1657	40.2414	40.2668	40.1919	40.3102	40.4383	40.4699	40.4181	40.3121	40.4470	40.4137	40.3430	40.5255	40.5816	40.5972	40.6104	40.4561
8166.4	0.0140	40.0405	40.1151	40.1509	40.2604	40.3785	40.3613	40.3132	40.1657	40.2365	40.2637	40.2064	40.3061	40.4267	40.4709	40.4223	40.3161	40.4513	40.3909	40.3406	40.5196	40.5719	40.5917	40.6270	40.4785
8169.9	0.0140	40.0256	40.1114	40.1585	40.2537	40.3588	40.3602	40.3204	40.1646	40.2291	40.2679	40.2170	40.3034	40.4177	40.4647	40.4306	40.3227	40.4527	40.3727	40.3356	40.5172	40.5852	40.5986	40.6436	40.4943
8173.5	0.0140	40.0059	40.1127	40.1640	40.2510	40.3232	40.3613	40.3383	40.1693	40.2205	40.2762	40.2434	40.3034	40.4099	40.4606	40.4390	40.3319	40.4555	40.3591	40.3368	40.5243	40.6058	40.6070	40.6577	40.4917
8176.9	0.0140	39.9910	40.1151	40.1662	40.2537	40.2865	40.3602	40.3598	40.1728	40.2144	40.2867	40.2645	40.3048	40.4151	40.4564	40.4484	40.3438	40.4499	40.3523	40.3406	40.5338	40.6095	40.6182	40.6705	40.4772
8180.3	0.0140	39.9898	40.1201	40.1706	40.2510	40.2535	40.3602	40.3729	40.1821	40.2107	40.2971	40.2791	40.3075	40.4164	40.4585	40.4537	40.3544	40.4456	40.3489	40.3455	40.5503	40.6070	40.6252	40.6807	40.4666
8183.8	0.0140	39.9947	40.1250	40.1706	40.2483	40.2352	40.3591	40.3849	40.1950	40.2070	40.3066	40.2924	40.3102	40.3996	40.4647	40.4610	40.3689	40.4372	40.3455	40.3455	40.5598	40.6046	40.6196	40.6871	40.4587
8187.2	0.0140	40.0034	40.1411	40.1695	40.2363	40.2205	40.3526	40.3921	40.1997	40.2132	40.3160	40.3030	40.3115	40.3880	40.4730	40.4652	40.3795	40.4343	40.3444	40.3530	40.5681	40.5986	40.6140	40.6820	40.4522
8190.7	0.0140	40.0108	40.1522	40.1684	40.2230	40.2095	40.3351	40.3634	40.2020	40.2169	40.3243	40.3056	40.3183	40.3892	40.4761	40.4694	40.3874	40.4315	40.3432	40.3554	40.5729	40.5913	40.6126	40.6782	40.4429
8194.2	0.0140	40.0219	40.1682	40.1651	40.2123	40.1937	40.3155	40.3263	40.2079	40.2205	40.3348	40.3122	40.3237	40.3944	40.4781	40.4725	40.3941	40.4301	40.3455	40.3616	40.5847	40.5864	40.6056	40.6692	40.4390
8197.6	0.0140	40.0343	40.1769	40.1564	40.1910	40.1791	40.2959	40.3204	40.2114	40.2254	40.3401	40.3149	40.3331	40.3880	40.4781	40.4746	40.3994	40.4301	40.3466	40.3641	40.5895	40.5840	40.5959	40.6615	40.4324
8201.2	0.0140	40.0504	40.1856	40.1345	40.1737	40.1669	40.2785	40.3251	40.2137	40.2328	40.3453	40.3122	40.3412	40.3738	40.4657	40.4767	40.4033	40.4287	40.3489	40.3666	40.5930	40.5877	40.5847	40.6462	40.4258
8204.6	0.0140	40.0615	40.1942	40.1171	40.1657	40.1584	40.2622	40.3251	40.2208	40.2377	40.3516	40.2963	40.3453	40.3647	40.4482	40.4767	40.4047	40.4315	40.3512	40.3703	40.5930	40.6119	40.5735	40.6385	40.4179
8208.1	0.0140	40.0739	40.1955	40.1008	40.1617	40.1474	40.2514	40.3228	40.2290	40.2463	40.3516	40.2818	40.3453	40.3635	40.4348	40.4746	40.4047	40.4343	40.3580	40.3765	40.6001	40.6507	40.5610	40.6232	40.4127
8211.5	0.0140	40.0839	40.1918	40.0866	40.1590	40.1474	40.2416	40.3168	40.2348	40.2476	40.3537	40.2910	40.3453	40.3686	40.4296	40.4683	40.4033	40.4343	40.3603	40.3915	40.6096	40.6798	40.5666	40.6117	40.4127
8214.9	0.0140	40.0963	40.1843	40.0801	40.1537	40.1633	40.2308	40.3108	40.2419	40.2513	40.3516	40.2831	40.3385	40.3854	40.4255	40.4652	40.4073	40.4386	40.3637	40.4039	40.6215	40.6944	40.5680	40.5976	40.4127
8218.3	0.0140	40.1050	40.1769	40.0714	40.1497	40.1620	40.2232	40.3049	40.2477	40.2586	40.3516	40.2751	40.3345	40.4060	40.4193	40.4610	40.4060	40.4428	40.3705	40.4163	40.6085	40.6908	40.5624	40.5887	40.4140
8221.7	0.0140	40.1174	40.1769	40.0572	40.1431	40.1596	40.2199	40.3049	40.2524	40.2636	40.3516	40.2725	40.3291	40.4215	40.4234	40.4558	40.4073	40.4456	40.3784	40.4300	40.6037	40.6786	40.5526	40.5797	40.4127
8225.2	0.0140	40.1286	40.1757	40.0464	40.1271	40.1608	40.2156	40.3072	40.2571	40.2709	40.3516	40.2712	40.3196	40.4228	40.4306	40.4526	40.4073	40.4513	40.3943	40.4549	40.6061	40.6628	40.5443	40.5696	40.4298
8228.8	0.0140	40.1348	40.1757	40.0431	40.1112	40.1596	40.2134	40.3156	40.2618	40.2796	40.3558	40.2712	40.3169	40.4254	40.4286	40.4474	40.4047	40.4612	40.4251	40.4836	40.6108	40.6531	40.5345	40.5632	40.4482
8232.2	0.0140	40.1385	40.1781	40.0410	40.0992	40.1547	40.2091	40.3192	40.2642	40.2907	40.3558	40.2870	40.3102	40.4306	40.4255	40.4432	40.4047	40.4696	40.4616	40.5036	40.6132	40.6458	40.5304	40.5543	40.4627
8235.6	0.0140	40.1373	40.1781	40.0344	40.0860	40.1244	40.2080	40.3228	40.2630	40.3017	40.3558	40.2990	40.3008	40.4358	40.4245	40.4380	40.4007	40.4795	40.4844	40.5174	40.6120	40.6446	40.5220	40.5517	40.4838
8239.0	0.0140	40.1373	40.1794	40.0312	40.0833	40.0928	40.2124	40.3251	40.2677	40.3116	40.3568	40.2963	40.2900	40.4358	40.4234	40.4348	40.4007	40.4923	40.4981	40.5286	40.6144	40.6434	40.5192	40.5504	40.4983
8242.4	0.0140	40.1360	40.1831	40.0355	40.0926	40.0577	40.2134	40.3251	40.2724	40.3227	40.3579	40.2818	40.2792	40.4319	40.4193	40.4306	40.3994	40.5078	40.5038	40.5361	40.6132	40.6410	40.5165	40.5517	40.5115
8245.9	0.0140	40.1373	40.1843	40.0301	40.1019	40.0335	40.2156	40.3120	40.2747	40.3363	40.3589	40.2725	40.2724	40.4254	40.4121	40.4275	40.3980	40.5220	40.4981	40.5399	40.6120	40.6313	40.5123	40.5517	40.5274
8249.3	0.0140	40.1447	40.1880	40.0192	40.1205	40.0154	40.2156	40.3072	40.2806	40.3536	40.3610	40.2831	40.2644	40.4099	40.4059	40.4243	40.3954	40.5418	40.4970	40.5361	40.6061	40.6179	40.5067	40.5453	40.5419
8252.7	0.0140	40.1572	40.1868	40.0084	40.1231	39.9985	40.2124	40.3084	40.2830	40.3672	40.3631	40.2831	40.2576	40.3854	40.3905	40.4233	40.3967	40.5574	40.5027	40.5311	40.5966	40.5925	40.4970	40.5415	40.5684
8256.3	0.0140	40.1808	40.1893	39.9987	40.1138	39.9792	40.2015	40.3037	40.2900	40.3845	40.3642	40.2765	40.2509	40.3622	40.3699	40.4149	40.3941	40.5731	40.5095	40.5311	40.5883	40.5647	40.4859	40.5377	40.5869
8259.7	0.0140	40.2033	40.1831	39.9965	40.1125	39.9575	40.1875	40.2739	40.3065	40.3981	40.3631	40.2672	40.2523	40.3454	40.3524	40.4045	40.3941	40.5859	40.5141	40.5324	40.5812	40.5441	40.4775	40.5326	40.5922
8263.1	0.0140	40.2295	40.1707	39.9997	40.1152	39.9635	40.1680	40.2299	40.3124	40.4130	40.3631	40.2725	40.2536	40.3364	40.3370	40.3909	40.3954	40.6029	40.5198	40.5311	40.5764	40.5224	40.4706	40.5250	40.5975
8266.6	0.0140	40.2507	40.1584	40.0041	40.1205	39.9852	40.1529	40.2180	40.3218	40.4266	40.3684	40.2831	40.2590	40.3274	40.3165	40.3794	40.3967	40.6171	40.5244	40.5286	40.5764	40.5067	40.4581	40.5186	40.5989
